external_urls,href,name,type,uri,id
https://open.spotify.com/artist/7A0awCXkE1FtSU8B0qwOJQ,https://api.spotify.com/v1/artists/7A0awCXkE1FtSU8B0qwOJQ,Jamie xx,artist,spotify:artist:7A0awCXkE1FtSU8B0qwOJQ,7A0awCXkE1FtSU8B0qwOJQ
https://open.spotify.com/artist/6mKqFxGMS5TGDZI3XkT5Rt,https://api.spotify.com/v1/artists/6mKqFxGMS5TGDZI3XkT5Rt,Angel Olsen,artist,spotify:artist:6mKqFxGMS5TGDZI3XkT5Rt,6mKqFxGMS5TGDZI3XkT5Rt
https://open.spotify.com/artist/3A5tHz1SfngyOZM2gItYKu,https://api.spotify.com/v1/artists/3A5tHz1SfngyOZM2gItYKu,Earl Sweatshirt,artist,spotify:artist:3A5tHz1SfngyOZM2gItYKu,3A5tHz1SfngyOZM2gItYKu
https://open.spotify.com/artist/6nB0iY1cjSY1KyhYyuIIKH,https://api.spotify.com/v1/artists/6nB0iY1cjSY1KyhYyuIIKH,FKA twigs,artist,spotify:artist:6nB0iY1cjSY1KyhYyuIIKH,6nB0iY1cjSY1KyhYyuIIKH
https://open.spotify.com/artist/38zTZcuN7nFvVJ6auhc6V3,https://api.spotify.com/v1/artists/38zTZcuN7nFvVJ6auhc6V3,Deerhunter,artist,spotify:artist:38zTZcuN7nFvVJ6auhc6V3,38zTZcuN7nFvVJ6auhc6V3
https://open.spotify.com/artist/2uYWxilOVlUdk4oV9DvwqK,https://api.spotify.com/v1/artists/2uYWxilOVlUdk4oV9DvwqK,Mitski,artist,spotify:artist:2uYWxilOVlUdk4oV9DvwqK,2uYWxilOVlUdk4oV9DvwqK
https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m,https://api.spotify.com/v1/artists/6vWDO969PvNqNYHIOW5v0m,Beyoncé,artist,spotify:artist:6vWDO969PvNqNYHIOW5v0m,6vWDO969PvNqNYHIOW5v0m
https://open.spotify.com/artist/4LEiUm1SRbFMgfqnQTwUbQ,https://api.spotify.com/v1/artists/4LEiUm1SRbFMgfqnQTwUbQ,Bon Iver,artist,spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ,4LEiUm1SRbFMgfqnQTwUbQ
https://open.spotify.com/artist/5QdyldG4Fl4TPiOIeMNpBZ,https://api.spotify.com/v1/artists/5QdyldG4Fl4TPiOIeMNpBZ,Big Thief,artist,spotify:artist:5QdyldG4Fl4TPiOIeMNpBZ,5QdyldG4Fl4TPiOIeMNpBZ
https://open.spotify.com/artist/68kEuyFKyqrdQQLLsmiatm,https://api.spotify.com/v1/artists/68kEuyFKyqrdQQLLsmiatm,Vince Staples,artist,spotify:artist:68kEuyFKyqrdQQLLsmiatm,68kEuyFKyqrdQQLLsmiatm
https://open.spotify.com/artist/6LEeAFiJF8OuPx747e1wxR,https://api.spotify.com/v1/artists/6LEeAFiJF8OuPx747e1wxR,Blood Orange,artist,spotify:artist:6LEeAFiJF8OuPx747e1wxR,6LEeAFiJF8OuPx747e1wxR
https://open.spotify.com/artist/7ltDVBr6mKbRvohxheJ9h1,https://api.spotify.com/v1/artists/7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,artist,spotify:artist:7ltDVBr6mKbRvohxheJ9h1,7ltDVBr6mKbRvohxheJ9h1
https://open.spotify.com/artist/0oSGxfWSnnOXhD2fKuz2Gy,https://api.spotify.com/v1/artists/0oSGxfWSnnOXhD2fKuz2Gy,David Bowie,artist,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy,0oSGxfWSnnOXhD2fKuz2Gy
https://open.spotify.com/artist/4lPl9gqgox3JDiaJ1yklKh,https://api.spotify.com/v1/artists/4lPl9gqgox3JDiaJ1yklKh,Tierra Whack,artist,spotify:artist:4lPl9gqgox3JDiaJ1yklKh,4lPl9gqgox3JDiaJ1yklKh
https://open.spotify.com/artist/7gqsi6aBSkRMJoL9psKqMr,https://api.spotify.com/v1/artists/7gqsi6aBSkRMJoL9psKqMr,Bill Callahan,artist,spotify:artist:7gqsi6aBSkRMJoL9psKqMr,7gqsi6aBSkRMJoL9psKqMr
https://open.spotify.com/artist/25uiPmTg16RbhZWAqwLBy5,https://api.spotify.com/v1/artists/25uiPmTg16RbhZWAqwLBy5,Charli XCX,artist,spotify:artist:25uiPmTg16RbhZWAqwLBy5,25uiPmTg16RbhZWAqwLBy5
https://open.spotify.com/artist/6vWDO969PvNqNYHIOW5v0m,https://api.spotify.com/v1/artists/6vWDO969PvNqNYHIOW5v0m,Beyoncé,artist,spotify:artist:6vWDO969PvNqNYHIOW5v0m,6vWDO969PvNqNYHIOW5v0m
https://open.spotify.com/artist/7IfculRW2WXyzNQ8djX8WX,https://api.spotify.com/v1/artists/7IfculRW2WXyzNQ8djX8WX,Erykah Badu,artist,spotify:artist:7IfculRW2WXyzNQ8djX8WX,7IfculRW2WXyzNQ8djX8WX
https://open.spotify.com/artist/7pyhre5oEEFMqcgMEvJY7q,https://api.spotify.com/v1/artists/7pyhre5oEEFMqcgMEvJY7q,Sky Ferreira,artist,spotify:artist:7pyhre5oEEFMqcgMEvJY7q,7pyhre5oEEFMqcgMEvJY7q
https://open.spotify.com/artist/09hVIj6vWgoCDtT03h8ZCa,https://api.spotify.com/v1/artists/09hVIj6vWgoCDtT03h8ZCa,A Tribe Called Quest,artist,spotify:artist:09hVIj6vWgoCDtT03h8ZCa,09hVIj6vWgoCDtT03h8ZCa
https://open.spotify.com/artist/4Sw0SFu1fFdYXdAEVdrqnO,https://api.spotify.com/v1/artists/4Sw0SFu1fFdYXdAEVdrqnO,Mount Eerie,artist,spotify:artist:4Sw0SFu1fFdYXdAEVdrqnO,4Sw0SFu1fFdYXdAEVdrqnO
https://open.spotify.com/artist/7eQZTqEMozBcuSubfu52i4,https://api.spotify.com/v1/artists/7eQZTqEMozBcuSubfu52i4,The Knife,artist,spotify:artist:7eQZTqEMozBcuSubfu52i4,7eQZTqEMozBcuSubfu52i4
https://open.spotify.com/artist/6sFIWsNpZYqfjUpaCgueju,https://api.spotify.com/v1/artists/6sFIWsNpZYqfjUpaCgueju,Carly Rae Jepsen,artist,spotify:artist:6sFIWsNpZYqfjUpaCgueju,6sFIWsNpZYqfjUpaCgueju
https://open.spotify.com/artist/6VJZYivuYJGCrPuOAnI7Qo,https://api.spotify.com/v1/artists/6VJZYivuYJGCrPuOAnI7Qo,ANOHNI,artist,spotify:artist:6VJZYivuYJGCrPuOAnI7Qo,6VJZYivuYJGCrPuOAnI7Qo
https://open.spotify.com/artist/2wPDbhaGXCqROrVmwDdCrK,https://api.spotify.com/v1/artists/2wPDbhaGXCqROrVmwDdCrK,Oneohtrix Point Never,artist,spotify:artist:2wPDbhaGXCqROrVmwDdCrK,2wPDbhaGXCqROrVmwDdCrK
https://open.spotify.com/artist/053q0ukIDRgzwTr4vNSwab,https://api.spotify.com/v1/artists/053q0ukIDRgzwTr4vNSwab,Grimes,artist,spotify:artist:053q0ukIDRgzwTr4vNSwab,053q0ukIDRgzwTr4vNSwab
https://open.spotify.com/artist/1kR99O4MgSTasyeJh8UFCg,https://api.spotify.com/v1/artists/1kR99O4MgSTasyeJh8UFCg,DJ Koze,artist,spotify:artist:1kR99O4MgSTasyeJh8UFCg,1kR99O4MgSTasyeJh8UFCg
https://open.spotify.com/artist/066X20Nz7iquqkkCW6Jxy6,https://api.spotify.com/v1/artists/066X20Nz7iquqkkCW6Jxy6,LCD Soundsystem,artist,spotify:artist:066X20Nz7iquqkkCW6Jxy6,066X20Nz7iquqkkCW6Jxy6
https://open.spotify.com/artist/23QKqAkKwti9zBiac6RFBA,https://api.spotify.com/v1/artists/23QKqAkKwti9zBiac6RFBA,Jlin,artist,spotify:artist:23QKqAkKwti9zBiac6RFBA,23QKqAkKwti9zBiac6RFBA
https://open.spotify.com/artist/50co4Is1HCEo8bhOyUWKpn,https://api.spotify.com/v1/artists/50co4Is1HCEo8bhOyUWKpn,Young Thug,artist,spotify:artist:50co4Is1HCEo8bhOyUWKpn,50co4Is1HCEo8bhOyUWKpn
https://open.spotify.com/artist/7bcbShaqKdcyjnmv4Ix8j6,https://api.spotify.com/v1/artists/7bcbShaqKdcyjnmv4Ix8j6,St. Vincent,artist,spotify:artist:7bcbShaqKdcyjnmv4Ix8j6,7bcbShaqKdcyjnmv4Ix8j6
https://open.spotify.com/artist/7w29UYBi0qsHi5RTcv3lmA,https://api.spotify.com/v1/artists/7w29UYBi0qsHi5RTcv3lmA,Björk,artist,spotify:artist:7w29UYBi0qsHi5RTcv3lmA,7w29UYBi0qsHi5RTcv3lmA
https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,https://api.spotify.com/v1/artists/2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,artist,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,2YZyLoL8N0Wb9xBt1NhZWg
https://open.spotify.com/artist/6HQYnRM4OzToCYPpVBInuU,https://api.spotify.com/v1/artists/6HQYnRM4OzToCYPpVBInuU,Kamasi Washington,artist,spotify:artist:6HQYnRM4OzToCYPpVBInuU,6HQYnRM4OzToCYPpVBInuU
https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02,Taylor Swift,artist,spotify:artist:06HL4z0CvFAxyc27GXpf02,06HL4z0CvFAxyc27GXpf02
